production_date,line_id,shift_id,order_id,product_id,qty_unit,actual_qty,runtime_minutes,downtime_minutes
2025-01-04,LINE-03,DAY,MO-004-03-1,PRD-006,ea,1115,453.000,11.000
2025-01-04,LINE-03,NIGHT,MO-004-03-2,PRD-007,ea,1062,446.000,21.000
2025-01-05,LINE-01,DAY,MO-005-01-1,PRD-009,ea,1104,452.000,19.000
2025-01-05,LINE-01,NIGHT,MO-005-01-2,PRD-010,ea,1016,439.000,30.000
2025-01-05,LINE-02,DAY,MO-005-02-1,PRD-011,ea,1181,448.000,15.000
2025-01-05,LINE-02,NIGHT,MO-005-02-2,PRD-012,ea,1074,460.000,8.000
2025-01-05,LINE-03,DAY,MO-005-03-1,PRD-013,ea,1197,450.000,12.000
2025-01-05,LINE-03,NIGHT,MO-005-03-2,PRD-014,ea,1141,446.000,18.000
2025-01-06,LINE-01,DAY,MO-006-01-1,PRD-016,ea,1176,464.000,8.000
2025-01-06,LINE-01,NIGHT,MO-006-01-2,PRD-017,ea,1136,425.000,35.000
2025-01-06,LINE-02,DAY,MO-006-02-1,PRD-018,ea,1284,441.000,18.000
2025-01-06,LINE-02,NIGHT,MO-006-02-2,PRD-019,ea,1234,436.000,26.000
2025-01-06,LINE-03,DAY,MO-006-03-1,PRD-020,ea,1338,436.000,28.000
2025-01-06,LINE-03,NIGHT,MO-006-03-2,PRD-001,ea,924,449.000,13.000
2025-01-07,LINE-01,DAY,MO-007-01-1,PRD-003,ea,961,447.000,17.000
2025-01-07,LINE-01,NIGHT,MO-007-01-2,PRD-004,ea,896,445.000,21.000
2025-01-07,LINE-02,DAY,MO-007-02-1,PRD-005,ea,1043,454.000,15.000
2025-01-07,LINE-02,NIGHT,MO-007-02-2,PRD-006,ea,1010,460.000,9.000
2025-01-07,LINE-03,DAY,MO-007-03-1,PRD-007,ea,1128,455.000,12.000
2025-01-07,LINE-03,NIGHT,MO-007-03-2,PRD-008,ea,1061,426.000,32.000
2025-01-08,LINE-01,DAY,MO-008-01-1,PRD-010,ea,1090,445.000,20.000
2025-01-08,LINE-01,NIGHT,MO-008-01-2,PRD-011,ea,1000,435.000,34.000
2025-01-08,LINE-02,DAY,MO-008-02-1,PRD-012,ea,1154,434.000,32.000
2025-01-08,LINE-02,NIGHT,MO-008-02-2,PRD-013,ea,1146,441.000,29.000
2025-01-08,LINE-03,DAY,MO-008-03-1,PRD-014,ea,1276,434.000,32.000
2025-01-08,LINE-03,NIGHT,MO-008-03-2,PRD-015,ea,1158,450.000,8.000
2025-01-09,LINE-01,DAY,MO-009-01-1,PRD-017,ea,1283,445.000,21.000
2025-01-09,LINE-01,NIGHT,MO-009-01-2,PRD-018,ea,1158,431.000,33.000
2025-01-09,LINE-02,DAY,MO-009-02-1,PRD-019,ea,1233,444.000,14.000
2025-01-09,LINE-02,NIGHT,MO-009-02-2,PRD-020,ea,1232,443.000,28.000
2025-01-09,LINE-03,DAY,MO-009-03-1,PRD-001,ea,1035,442.000,27.000
2025-01-09,LINE-03,NIGHT,MO-009-03-2,PRD-002,ea,992,439.000,27.000
2025-01-10,LINE-01,DAY,MO-010-01-1,PRD-004,ea,945,462.000,9.000
2025-01-10,LINE-01,NIGHT,MO-010-01-2,PRD-005,ea,966,454.000,8.000
2025-01-10,LINE-02,DAY,MO-010-02-1,PRD-006,ea,1126,453.000,19.000
2025-01-10,LINE-02,NIGHT,MO-010-02-2,PRD-007,ea,1007,437.000,35.000
2025-01-10,LINE-03,DAY,MO-010-03-1,PRD-008,ea,1183,436.000,30.000
2025-01-10,LINE-03,NIGHT,MO-010-03-2,PRD-009,ea,1038,431.000,29.000
2025-01-11,LINE-01,DAY,MO-011-01-1,PRD-011,ea,1176,436.000,29.000
2025-01-11,LINE-01,NIGHT,MO-011-01-2,PRD-012,ea,1009,448.000,14.000
2025-01-11,LINE-02,DAY,MO-011-02-1,PRD-013,ea,1246,427.000,35.000
2025-01-11,LINE-02,NIGHT,MO-011-02-2,PRD-014,ea,1149,433.000,32.000
2025-01-11,LINE-03,DAY,MO-011-03-1,PRD-015,ea,1259,449.000,19.000
2025-01-11,LINE-03,NIGHT,MO-011-03-2,PRD-016,ea,1211,435.000,24.000
2025-01-12,LINE-01,DAY,MO-012-01-1,PRD-018,ea,1199,440.000,21.000
2025-01-12,LINE-01,NIGHT,MO-012-01-2,PRD-019,ea,1154,437.000,28.000
2025-01-12,LINE-02,DAY,MO-012-02-1,PRD-020,ea,1318,439.000,33.000
2025-01-12,LINE-02,NIGHT,MO-012-02-2,PRD-001,ea,854,452.000,18.000
2025-01-12,LINE-03,DAY,MO-012-03-1,PRD-002,ea,1113,441.000,21.000
2025-01-12,LINE-03,NIGHT,MO-012-03-2,PRD-003,ea,981,446.000,21.000
2025-01-13,LINE-01,DAY,MO-013-01-1,PRD-005,ea,1019,434.000,35.000
2025-01-13,LINE-01,NIGHT,MO-013-01-2,PRD-006,ea,957,436.000,24.000
2025-01-13,LINE-02,DAY,MO-013-02-1,PRD-007,ea,1028,453.000,9.000
2025-01-13,LINE-02,NIGHT,MO-013-02-2,PRD-008,ea,980,455.000,9.000
2025-01-13,LINE-03,DAY,MO-013-03-1,PRD-009,ea,1137,444.000,15.000
2025-01-13,LINE-03,NIGHT,MO-013-03-2,PRD-010,ea,1068,434.000,35.000
2025-01-14,LINE-01,DAY,MO-014-01-1,PRD-012,ea,1174,442.000,21.000
2025-01-14,LINE-01,NIGHT,MO-014-01-2,PRD-013,ea,1009,440.000,23.000
2025-01-14,LINE-02,DAY,MO-014-02-1,PRD-014,ea,1252,444.000,16.000
2025-01-14,LINE-02,NIGHT,MO-014-02-2,PRD-015,ea,1190,428.000,33.000
2025-01-14,LINE-03,DAY,MO-014-03-1,PRD-016,ea,1255,446.000,22.000
2025-01-14,LINE-03,NIGHT,MO-014-03-2,PRD-017,ea,1247,433.000,25.000
2025-01-15,LINE-01,DAY,MO-015-01-1,PRD-019,ea,1278,450.000,15.000
2025-01-15,LINE-01,NIGHT,MO-015-01-2,PRD-020,ea,1211,432.000,34.000
2025-01-15,LINE-02,DAY,MO-015-02-1,PRD-001,ea,976,457.000,12.000
2025-01-15,LINE-02,NIGHT,MO-015-02-2,PRD-002,ea,929,445.000,15.000
2025-01-15,LINE-03,DAY,MO-015-03-1,PRD-003,ea,1101,434.000,30.000
2025-01-15,LINE-03,NIGHT,MO-015-03-2,PRD-004,ea,1038,446.000,26.000
2025-01-16,LINE-01,DAY,MO-016-01-1,PRD-006,ea,1004,438.000,30.000
2025-01-16,LINE-01,NIGHT,MO-016-01-2,PRD-007,ea,990,442.000,24.000
2025-01-16,LINE-02,DAY,MO-016-02-1,PRD-008,ea,1145,443.000,23.000
2025-01-16,LINE-02,NIGHT,MO-016-02-2,PRD-009,ea,1062,432.000,26.000
2025-01-16,LINE-03,DAY,MO-016-03-1,PRD-010,ea,1217,441.000,28.000
2025-01-16,LINE-03,NIGHT,MO-016-03-2,PRD-011,ea,1060,437.000,31.000
2025-01-17,LINE-01,DAY,MO-017-01-1,PRD-013,ea,1098,447.000,21.000
2025-01-17,LINE-01,NIGHT,MO-017-01-2,PRD-014,ea,1120,453.000,9.000
2025-01-17,LINE-02,DAY,MO-017-02-1,PRD-015,ea,1297,445.000,24.000
2025-01-17,LINE-02,NIGHT,MO-017-02-2,PRD-016,ea,1122,459.000,13.000
2025-01-17,LINE-03,DAY,MO-017-03-1,PRD-017,ea,1284,424.000,35.000
2025-01-17,LINE-03,NIGHT,MO-017-03-2,PRD-018,ea,1186,437.000,27.000
2025-01-18,LINE-01,DAY,MO-018-01-1,PRD-020,ea,1192,440.000,26.000
2025-01-18,LINE-01,NIGHT,MO-018-01-2,PRD-001,ea,821,460.000,12.000
2025-01-18,LINE-02,DAY,MO-018-02-1,PRD-002,ea,1035,433.000,30.000
2025-01-18,LINE-02,NIGHT,MO-018-02-2,PRD-003,ea,884,433.000,33.000
2025-01-18,LINE-03,DAY,MO-018-03-1,PRD-004,ea,1051,442.000,26.000
2025-01-18,LINE-03,NIGHT,MO-018-03-2,PRD-005,ea,1036,430.000,33.000
2025-01-19,LINE-01,DAY,MO-019-01-1,PRD-007,ea,1067,454.000,8.000
2025-01-19,LINE-01,NIGHT,MO-019-01-2,PRD-008,ea,944,453.000,12.000
2025-01-19,LINE-02,DAY,MO-019-02-1,PRD-009,ea,1048,450.000,11.000
2025-01-19,LINE-02,NIGHT,MO-019-02-2,PRD-010,ea,1127,449.000,23.000
2025-01-19,LINE-03,DAY,MO-019-03-1,PRD-011,ea,1226,436.000,28.000
2025-01-19,LINE-03,NIGHT,MO-019-03-2,PRD-012,ea,1147,431.000,31.000
2025-01-20,LINE-01,DAY,MO-020-01-1,PRD-014,ea,1128,440.000,32.000
2025-01-20,LINE-01,NIGHT,MO-020-01-2,PRD-015,ea,1097,441.000,18.000
2025-01-20,LINE-02,DAY,MO-020-02-1,PRD-016,ea,1230,429.000,31.000
2025-01-20,LINE-02,NIGHT,MO-020-02-2,PRD-017,ea,1267,443.000,15.000
2025-01-20,LINE-03,DAY,MO-020-03-1,PRD-018,ea,1255,450.000,15.000
2025-01-20,LINE-03,NIGHT,MO-020-03-2,PRD-019,ea,1258,444.000,20.000
2025-01-21,LINE-01,DAY,MO-021-01-1,PRD-001,ea,920,433.000,26.000
2025-01-21,LINE-01,NIGHT,MO-021-01-2,PRD-002,ea,830,446.000,24.000
2025-01-21,LINE-02,DAY,MO-021-02-1,PRD-003,ea,1015,442.000,25.000
2025-01-21,LINE-02,NIGHT,MO-021-02-2,PRD-004,ea,873,439.000,19.000
2025-01-21,LINE-03,DAY,MO-021-03-1,PRD-005,ea,1143,449.000,12.000
2025-01-21,LINE-03,NIGHT,MO-021-03-2,PRD-006,ea,1005,442.000,20.000
2025-01-22,LINE-01,DAY,MO-022-01-1,PRD-008,ea,1075,461.000,9.000
2025-01-22,LINE-01,NIGHT,MO-022-01-2,PRD-009,ea,1052,455.000,12.000
2025-01-22,LINE-02,DAY,MO-022-02-1,PRD-010,ea,1120,456.000,9.000
2025-01-22,LINE-02,NIGHT,MO-022-02-2,PRD-011,ea,1079,433.000,28.000
2025-01-22,LINE-03,DAY,MO-022-03-1,PRD-012,ea,1223,435.000,28.000
2025-01-22,LINE-03,NIGHT,MO-022-03-2,PRD-013,ea,1158,432.000,26.000
2025-01-23,LINE-01,DAY,MO-023-01-1,PRD-015,ea,1169,429.000,30.000
2025-01-23,LINE-01,NIGHT,MO-023-01-2,PRD-016,ea,1149,441.000,29.000
2025-01-23,LINE-02,DAY,MO-023-02-1,PRD-017,ea,1233,452.000,15.000
2025-01-23,LINE-02,NIGHT,MO-023-02-2,PRD-018,ea,1177,436.000,25.000
2025-01-23,LINE-03,DAY,MO-023-03-1,PRD-019,ea,1301,434.000,24.000
2025-01-23,LINE-03,NIGHT,MO-023-03-2,PRD-020,ea,1328,457.000,14.000
2025-01-24,LINE-01,DAY,MO-024-01-1,PRD-002,ea,938,444.000,18.000
2025-01-24,LINE-01,NIGHT,MO-024-01-2,PRD-003,ea,913,440.000,31.000
2025-01-24,LINE-02,DAY,MO-024-02-1,PRD-004,ea,1017,437.000,35.000
2025-01-24,LINE-02,NIGHT,MO-024-02-2,PRD-005,ea,892,443.000,24.000
2025-01-24,LINE-03,DAY,MO-024-03-1,PRD-006,ea,1070,448.000,23.000
2025-01-24,LINE-03,NIGHT,MO-024-03-2,PRD-007,ea,1113,445.000,25.000
2025-01-25,LINE-01,DAY,MO-025-01-1,PRD-009,ea,1101,448.000,15.000
2025-01-25,LINE-01,NIGHT,MO-025-01-2,PRD-010,ea,929,439.000,26.000
2025-01-25,LINE-02,DAY,MO-025-02-1,PRD-011,ea,1113,438.000,32.000
2025-01-25,LINE-02,NIGHT,MO-025-02-2,PRD-012,ea,1123,448.000,21.000
2025-01-25,LINE-03,DAY,MO-025-03-1,PRD-013,ea,1302,442.000,30.000
2025-01-25,LINE-03,NIGHT,MO-025-03-2,PRD-014,ea,1201,445.000,22.000
2025-01-26,LINE-01,DAY,MO-026-01-1,PRD-016,ea,1209,453.000,13.000
2025-01-26,LINE-01,NIGHT,MO-026-01-2,PRD-017,ea,1104,445.000,17.000
2025-01-26,LINE-02,DAY,MO-026-02-1,PRD-018,ea,907,425.000,35.000
2025-01-26,LINE-02,NIGHT,MO-026-02-2,PRD-019,ea,896,452.000,15.000
2025-01-26,LINE-03,DAY,MO-026-03-1,PRD-020,ea,1413,454.000,10.000
2025-01-26,LINE-03,NIGHT,MO-026-03-2,PRD-001,ea,984,460.000,9.000
2025-01-27,LINE-01,DAY,MO-027-01-1,PRD-003,ea,972,439.000,31.000
2025-01-27,LINE-01,NIGHT,MO-027-01-2,PRD-004,ea,949,452.000,11.000
2025-01-27,LINE-02,DAY,MO-027-02-1,PRD-005,ea,841,443.000,20.000
2025-01-27,LINE-02,NIGHT,MO-027-02-2,PRD-006,ea,691,441.000,19.000
2025-01-27,LINE-03,DAY,MO-027-03-1,PRD-007,ea,1074,437.000,23.000
2025-01-27,LINE-03,NIGHT,MO-027-03-2,PRD-008,ea,1064,437.000,26.000
2025-01-28,LINE-01,DAY,MO-028-01-1,PRD-010,ea,1078,439.000,19.000
2025-01-28,LINE-01,NIGHT,MO-028-01-2,PRD-011,ea,1034,450.000,11.000
2025-01-28,LINE-02,DAY,MO-028-02-1,PRD-012,ea,851,433.000,28.000
2025-01-28,LINE-02,NIGHT,MO-028-02-2,PRD-013,ea,829,430.000,30.000
2025-01-28,LINE-03,DAY,MO-028-03-1,PRD-014,ea,1364,442.000,29.000
2025-01-28,LINE-03,NIGHT,MO-028-03-2,PRD-015,ea,1204,456.000,9.000
2025-01-29,LINE-01,DAY,MO-029-01-1,PRD-017,ea,1286,446.000,12.000
2025-01-29,LINE-01,NIGHT,MO-029-01-2,PRD-018,ea,1148,438.000,28.000
2025-01-29,LINE-02,DAY,MO-029-02-1,PRD-019,ea,973,458.000,10.000
2025-01-29,LINE-02,NIGHT,MO-029-02-2,PRD-020,ea,981,442.000,16.000
2025-01-29,LINE-03,DAY,MO-029-03-1,PRD-001,ea,985,451.000,15.000
2025-01-29,LINE-03,NIGHT,MO-029-03-2,PRD-002,ea,995,442.000,26.000
2025-01-30,LINE-01,DAY,MO-030-01-1,PRD-004,ea,1056,448.000,21.000
2025-01-30,LINE-01,NIGHT,MO-030-01-2,PRD-005,ea,915,441.000,18.000
2025-01-30,LINE-02,DAY,MO-030-02-1,PRD-006,ea,836,449.000,9.000
2025-01-30,LINE-02,NIGHT,MO-030-02-2,PRD-007,ea,763,450.000,10.000
2025-01-30,LINE-03,DAY,MO-030-03-1,PRD-008,ea,1107,439.000,29.000
2025-01-30,LINE-03,NIGHT,MO-030-03-2,PRD-009,ea,1043,445.000,14.000
2025-01-31,LINE-01,DAY,MO-031-01-1,PRD-011,ea,1140,438.000,24.000
2025-01-31,LINE-01,NIGHT,MO-031-01-2,PRD-012,ea,1093,435.000,30.000
2025-01-31,LINE-02,DAY,MO-031-02-1,PRD-013,ea,903,437.000,29.000
2025-01-31,LINE-02,NIGHT,MO-031-02-2,PRD-014,ea,794,443.000,27.000
2025-01-31,LINE-03,DAY,MO-031-03-1,PRD-015,ea,1312,453.000,9.000
2025-01-31,LINE-03,NIGHT,MO-031-03-2,PRD-016,ea,1215,441.000,19.000
2025-02-01,LINE-01,DAY,MO-032-01-1,PRD-018,ea,1160,435.000,25.000
2025-02-01,LINE-01,NIGHT,MO-032-01-2,PRD-019,ea,1102,448.000,20.000
2025-02-01,LINE-02,DAY,MO-032-02-1,PRD-020,ea,1006,434.000,31.000
2025-02-01,LINE-02,NIGHT,MO-032-02-2,PRD-001,ea,638,443.000,17.000
2025-02-01,LINE-03,DAY,MO-032-03-1,PRD-002,ea,1024,429.000,29.000
2025-02-01,LINE-03,NIGHT,MO-032-03-2,PRD-003,ea,977,450.000,20.000
2025-02-02,LINE-01,DAY,MO-033-01-1,PRD-005,ea,1027,432.000,26.000
2025-02-02,LINE-01,NIGHT,MO-033-01-2,PRD-006,ea,925,438.000,31.000
2025-02-02,LINE-02,DAY,MO-033-02-1,PRD-007,ea,1093,426.000,33.000
2025-02-02,LINE-02,NIGHT,MO-033-02-2,PRD-008,ea,967,449.000,11.000
2025-02-02,LINE-03,DAY,MO-033-03-1,PRD-009,ea,1173,428.000,33.000
2025-02-02,LINE-03,NIGHT,MO-033-03-2,PRD-010,ea,1182,431.000,32.000
2025-02-03,LINE-01,DAY,MO-034-01-1,PRD-012,ea,1146,442.000,28.000
2025-02-03,LINE-01,NIGHT,MO-034-01-2,PRD-013,ea,1067,447.000,14.000
2025-02-03,LINE-02,DAY,MO-034-02-1,PRD-014,ea,1228,434.000,26.000
2025-02-03,LINE-02,NIGHT,MO-034-02-2,PRD-015,ea,1116,451.000,14.000
2025-02-03,LINE-03,DAY,MO-034-03-1,PRD-016,ea,1255,449.000,21.000
2025-02-03,LINE-03,NIGHT,MO-034-03-2,PRD-017,ea,1224,459.000,8.000
2025-02-04,LINE-01,DAY,MO-035-01-1,PRD-019,ea,1310,460.000,10.000
2025-02-04,LINE-01,NIGHT,MO-035-01-2,PRD-020,ea,1236,452.000,20.000
2025-02-04,LINE-02,DAY,MO-035-02-1,PRD-001,ea,1034,450.000,10.000
2025-02-04,LINE-02,NIGHT,MO-035-02-2,PRD-002,ea,926,437.000,29.000
2025-02-04,LINE-03,DAY,MO-035-03-1,PRD-003,ea,1053,440.000,19.000
2025-02-04,LINE-03,NIGHT,MO-035-03-2,PRD-004,ea,1015,428.000,32.000
2025-02-05,LINE-01,DAY,MO-036-01-1,PRD-006,ea,1060,463.000,8.000
2025-02-05,LINE-01,NIGHT,MO-036-01-2,PRD-007,ea,954,450.000,11.000
2025-02-05,LINE-02,DAY,MO-036-02-1,PRD-008,ea,1141,443.000,22.000
2025-02-05,LINE-02,NIGHT,MO-036-02-2,PRD-009,ea,1064,450.000,13.000
2025-02-05,LINE-03,DAY,MO-036-03-1,PRD-010,ea,1144,433.000,25.000
2025-02-05,LINE-03,NIGHT,MO-036-03-2,PRD-011,ea,1096,451.000,18.000
2025-02-06,LINE-01,DAY,MO-037-01-1,PRD-013,ea,1135,427.000,33.000
2025-02-06,LINE-01,NIGHT,MO-037-01-2,PRD-014,ea,1149,433.000,35.000
2025-02-06,LINE-02,DAY,MO-037-02-1,PRD-015,ea,1219,446.000,17.000
2025-02-06,LINE-02,NIGHT,MO-037-02-2,PRD-016,ea,1186,437.000,26.000
2025-02-06,LINE-03,DAY,MO-037-03-1,PRD-017,ea,1364,448.000,22.000
2025-02-06,LINE-03,NIGHT,MO-037-03-2,PRD-018,ea,1258,441.000,23.000
2025-02-07,LINE-01,DAY,MO-038-01-1,PRD-020,ea,1275,447.000,15.000
2025-02-07,LINE-01,NIGHT,MO-038-01-2,PRD-001,ea,903,455.000,13.000
2025-02-07,LINE-02,DAY,MO-038-02-1,PRD-002,ea,1007,450.000,15.000
2025-02-07,LINE-02,NIGHT,MO-038-02-2,PRD-003,ea,896,448.000,19.000
2025-02-07,LINE-03,DAY,MO-038-03-1,PRD-004,ea,1089,450.000,9.000
2025-02-07,LINE-03,NIGHT,MO-038-03-2,PRD-005,ea,1054,458.000,9.000
2025-02-08,LINE-01,DAY,MO-039-01-1,PRD-007,ea,1027,438.000,23.000
2025-02-08,LINE-01,NIGHT,MO-039-01-2,PRD-008,ea,904,440.000,24.000
2025-02-08,LINE-02,DAY,MO-039-02-1,PRD-009,ea,1075,450.000,13.000
2025-02-08,LINE-02,NIGHT,MO-039-02-2,PRD-010,ea,1073,438.000,24.000
2025-02-08,LINE-03,DAY,MO-039-03-1,PRD-011,ea,1199,438.000,25.000
2025-02-08,LINE-03,NIGHT,MO-039-03-2,PRD-012,ea,1084,439.000,32.000
2025-02-09,LINE-01,DAY,MO-040-01-1,PRD-014,ea,1097,438.000,29.000
2025-02-09,LINE-01,NIGHT,MO-040-01-2,PRD-015,ea,1090,444.000,27.000
2025-02-09,LINE-02,DAY,MO-040-02-1,PRD-016,ea,1227,440.000,27.000
2025-02-09,LINE-02,NIGHT,MO-040-02-2,PRD-017,ea,1257,435.000,32.000
2025-02-09,LINE-03,DAY,MO-040-03-1,PRD-018,ea,1352,425.000,34.000
2025-02-09,LINE-03,NIGHT,MO-040-03-2,PRD-019,ea,1331,424.000,35.000
2025-02-10,LINE-01,DAY,MO-041-01-1,PRD-001,ea,885,441.000,20.000
2025-02-10,LINE-01,NIGHT,MO-041-01-2,PRD-002,ea,819,440.000,25.000
2025-02-10,LINE-02,DAY,MO-041-02-1,PRD-003,ea,1049,449.000,12.000
2025-02-10,LINE-02,NIGHT,MO-041-02-2,PRD-004,ea,947,429.000,30.000
2025-02-10,LINE-03,DAY,MO-041-03-1,PRD-005,ea,1074,434.000,27.000
2025-02-10,LINE-03,NIGHT,MO-041-03-2,PRD-006,ea,1005,444.000,22.000
2025-02-11,LINE-01,DAY,MO-042-01-1,PRD-008,ea,1057,442.000,21.000
2025-02-11,LINE-01,NIGHT,MO-042-01-2,PRD-009,ea,1038,432.000,28.000
2025-02-11,LINE-02,DAY,MO-042-02-1,PRD-010,ea,1155,439.000,19.000
2025-02-11,LINE-02,NIGHT,MO-042-02-2,PRD-011,ea,1016,438.000,30.000
2025-02-11,LINE-03,DAY,MO-042-03-1,PRD-012,ea,1270,453.000,15.000
2025-02-11,LINE-03,NIGHT,MO-042-03-2,PRD-013,ea,1199,435.000,32.000
2025-02-12,LINE-01,DAY,MO-043-01-1,PRD-015,ea,1147,425.000,35.000
2025-02-12,LINE-01,NIGHT,MO-043-01-2,PRD-016,ea,1099,462.000,9.000
2025-02-12,LINE-02,DAY,MO-043-02-1,PRD-017,ea,1286,434.000,34.000
2025-02-12,LINE-02,NIGHT,MO-043-02-2,PRD-018,ea,1166,441.000,23.000
2025-02-12,LINE-03,DAY,MO-043-03-1,PRD-019,ea,1351,258.000,210.000
2025-02-12,LINE-03,NIGHT,MO-043-03-2,PRD-020,ea,1339,277.000,190.000
2025-02-13,LINE-01,DAY,MO-044-01-1,PRD-002,ea,939,431.000,31.000
2025-02-13,LINE-01,NIGHT,MO-044-01-2,PRD-003,ea,884,449.000,22.000
2025-02-13,LINE-02,DAY,MO-044-02-1,PRD-004,ea,1045,450.000,17.000
2025-02-13,LINE-02,NIGHT,MO-044-02-2,PRD-005,ea,981,442.000,17.000
2025-02-13,LINE-03,DAY,MO-044-03-1,PRD-006,ea,1097,290.000,177.000
2025-02-13,LINE-03,NIGHT,MO-044-03-2,PRD-007,ea,1075,292.000,167.000
2025-02-14,LINE-01,DAY,MO-045-01-1,PRD-009,ea,1112,452.000,19.000
2025-02-14,LINE-01,NIGHT,MO-045-01-2,PRD-010,ea,997,440.000,30.000
2025-02-14,LINE-02,DAY,MO-045-02-1,PRD-011,ea,1128,443.000,27.000
2025-02-14,LINE-02,NIGHT,MO-045-02-2,PRD-012,ea,1021,452.000,10.000
2025-02-14,LINE-03,DAY,MO-045-03-1,PRD-013,ea,1312,289.000,170.000
2025-02-14,LINE-03,NIGHT,MO-045-03-2,PRD-014,ea,1249,255.000,204.000
2025-02-15,LINE-01,DAY,MO-046-01-1,PRD-016,ea,1211,431.000,31.000
2025-02-15,LINE-01,NIGHT,MO-046-01-2,PRD-017,ea,1157,451.000,11.000
2025-02-15,LINE-02,DAY,MO-046-02-1,PRD-018,ea,1225,438.000,25.000
2025-02-15,LINE-02,NIGHT,MO-046-02-2,PRD-019,ea,1255,441.000,22.000
2025-02-15,LINE-03,DAY,MO-046-03-1,PRD-020,ea,1418,459.000,9.000
2025-02-15,LINE-03,NIGHT,MO-046-03-2,PRD-001,ea,966,454.000,16.000
2025-02-16,LINE-01,DAY,MO-047-01-1,PRD-003,ea,976,458.000,12.000
2025-02-16,LINE-01,NIGHT,MO-047-01-2,PRD-004,ea,899,447.000,23.000
2025-02-16,LINE-02,DAY,MO-047-02-1,PRD-005,ea,992,437.000,27.000
2025-02-16,LINE-02,NIGHT,MO-047-02-2,PRD-006,ea,969,446.000,22.000
2025-02-16,LINE-03,DAY,MO-047-03-1,PRD-007,ea,1108,448.000,23.000
2025-02-16,LINE-03,NIGHT,MO-047-03-2,PRD-008,ea,1006,453.000,18.000
2025-02-17,LINE-01,DAY,MO-048-01-1,PRD-010,ea,1083,433.000,28.000
2025-02-17,LINE-01,NIGHT,MO-048-01-2,PRD-011,ea,1062,454.000,18.000
2025-02-17,LINE-02,DAY,MO-048-02-1,PRD-012,ea,1208,448.000,13.000
2025-02-17,LINE-02,NIGHT,MO-048-02-2,PRD-013,ea,1106,451.000,17.000
2025-02-17,LINE-03,DAY,MO-048-03-1,PRD-014,ea,1189,442.000,16.000
2025-02-17,LINE-03,NIGHT,MO-048-03-2,PRD-015,ea,1211,453.000,18.000
2025-02-18,LINE-01,DAY,MO-049-01-1,PRD-017,ea,1290,442.000,21.000
2025-02-18,LINE-01,NIGHT,MO-049-01-2,PRD-018,ea,1123,446.000,26.000
2025-02-18,LINE-02,DAY,MO-049-02-1,PRD-019,ea,1358,435.000,32.000
2025-02-18,LINE-02,NIGHT,MO-049-02-2,PRD-020,ea,1294,424.000,34.000
2025-02-18,LINE-03,DAY,MO-049-03-1,PRD-001,ea,1049,450.000,20.000
2025-02-18,LINE-03,NIGHT,MO-049-03-2,PRD-002,ea,965,430.000,32.000
2025-02-19,LINE-01,DAY,MO-050-01-1,PRD-004,ea,967,430.000,32.000
2025-02-19,LINE-01,NIGHT,MO-050-01-2,PRD-005,ea,863,445.000,22.000
2025-02-19,LINE-02,DAY,MO-050-02-1,PRD-006,ea,1112,430.000,32.000
